Album;Rok;Médium;Číslo;Název skladby;Autor hudby;Autor textu;Vydavatelství;Poznámka
Greenhorns 2;1973;MC;7;Rok 1849;traditional;J. Pokorný;Panton;
Greenhorns 2;1973;MC;8;Už tě vlak přiváží;B. S. Perry;J. Vyčítal;Panton;text: Vyčítal
Greenhorns 2;1973;MC;9;Michalův song;T. T. Hall;J. Vyčítal;Panton;text: Vyčítal
Greenhorns 2;1973;MC;10;Jižní vítr;J. Cash;M. Hoffmann;Panton;
Greenhorns 2;1973;MC;11;Bída s nouzí;M. Haggard;M. Hoffmann;Panton;
Greenhorns 2;1973;MC;12;Hej Joe;traditional;M. Hoffmann;Panton;
Greenhorns 2;1973;MC;13;Step hoří;traditional;;Panton;
Greenhorns 2;1973;MC;14;Casey Jones;traditional;J. Vyčítal;Panton;text: Vyčítal
Greenhorns 2;1973;MC;15;Blues líného spřežení;J. Rodgers;J. Vyčítal;Panton;text: Vyčítal
Greenhorns 2;1973;MC;16;Honzův song;G. Mack;P. Novotný;Panton;
Greenhorns 2;1973;MC;17;Oči pálí;traditional;J. Vyčítal;Panton;text: Vyčítal
Greenhorns 2;1973;MC;18;Vlak má zelenou;traditional;M. Hoffmann;Panton;
Greenhorns 2;1973;MC;19;Šest dní na silnici;E. Green;M. Hoffmann;Panton;
Greenhorns 2;1973;MC;20;Šlapej dál;C. Williams;M. Hoffmann;Panton;
Greenhorns 2;1973;MC;21;Neváhej;Mills-Friend;M. Hoffmann;Panton;
Greenhorns 2;1973;MC;22;Divnej smích;S. Wooley;M. Hoffmann;Panton;
Greenhorns 2;1973;MC;23;Modlitba;J. R. Wills;;Panton;
Silnice, Řeky, Tratě a Stezky;1976;MC;1;Historie téhle káry;J. Dean, N. Lynn;P. Novotný;Panton;
Silnice, Řeky, Tratě a Stezky;1976;MC;2;Matčiny růže;B. J. Shaver;M. Hoffmann;Panton;
Silnice, Řeky, Tratě a Stezky;1976;MC;3;Černá a bílá noc;E. Tubb;M. Hoffmann;Panton;
Silnice, Řeky, Tratě a Stezky;1976;MC;4;Čekání;M. Hoffmann;M. Hoffmann;Panton;
Silnice, Řeky, Tratě a Stezky;1976;MC;5;Banjo má pět strun;J. Šimek;;Panton;
Silnice, Řeky, Tratě a Stezky;1976;MC;6;Vltavská marina;M. Čermák;M. Čermák;Panton;
Silnice, Řeky, Tratě a Stezky;1976;MC;7;Netoužím po lustrech z křišťálu;J. W. Routh;M. Hoffmann;Panton;
Silnice, Řeky, Tratě a Stezky;1976;MC;8;Poslední rallye;M. Robbins;M. Hoffmann;Panton;
Silnice, Řeky, Tratě a Stezky;1976;MC;9;Dívka s vlasem medovým;T. T. Hall;M. Hoffmann;Panton;
Silnice, Řeky, Tratě a Stezky;1976;MC;10;Dálnice;P. Bryndáč;;Panton;
Silnice, Řeky, Tratě a Stezky;1976;MC;11;Táta můj mi říkal;P. Bryndáč, M. Hoffmann;M. Hoffmann;Panton;
Silnice, Řeky, Tratě a Stezky;1976;MC;12;Boty po strýci;B. Dylan;M. Hoffmann;Panton;
Silnice, Řeky, Tratě a Stezky;1976;MC;13;Kdosi mě ruší;Anne Young;M. Hoffmann;Panton;
Silnice, Řeky, Tratě a Stezky;1976;MC;14;Království za koně;F. Bryant;M. Hoffmann;Panton;
Řidič tvrdý chleba má;1979;MC;1;Řidič tvrdý chleba má;T. T. Hall, D. Dudley;M. Bukovič, J. Vyčítal;Panton;text: Vyčítal
Řidič tvrdý chleba má;1979;MC;2;Blues prázdného motelu;T. T. Hall;J. Vyčítal;Panton;text: Vyčítal
Řidič tvrdý chleba má;1979;MC;3;Cítím vůni vlasů tvých;K. Kristofferson;J. Vyčítal;Panton;text: Vyčítal
Řidič tvrdý chleba má;1979;MC;4;Rozmarná kráska;M. Čermák;M. Čermák;Panton;
Řidič tvrdý chleba má;1979;MC;5;Dívka, co se smála jak Chaplínův Kid;P. Skalický;J. Vyčítal;Panton;text: Vyčítal
Řidič tvrdý chleba má;1979;MC;6;Cadillac;W. Kemp;J. Vyčítal;Panton;text: Vyčítal
Řidič tvrdý chleba má;1979;MC;7;Dělová koule;F. Jenkins;;Panton;
Řidič tvrdý chleba má;1979;MC;8;Toulám se zas dál;P. Skalický;J. Vyčítal;Panton;text: Vyčítal
Řidič tvrdý chleba má;1979;MC;9;Zbyl mi jen tvůj mokasín;P. Bryndáč;J. Vyčítal;Panton;text: Vyčítal
Řidič tvrdý chleba má;1979;MC;10;Fidlací song;T. T. Hall;J. Vyčítal;Panton;text: Vyčítal
Řidič tvrdý chleba má;1979;MC;11;To jen babí léto;M. Hoffmann;M. Hoffmann;Panton;
Řidič tvrdý chleba má;1979;MC;12;Psí píseň;M. Čermák;M. Čermák;Panton;
