Album;Rok;Médium;Číslo;Název skladby;Autor hudby;Autor textu;Vydavatelství;Poznámka
Gala Portrét;1985;LP;9;Šest dní na silnici;E. Greene;Miroslav Hoffmann;Panton;
Gala Portrét;1985;LP;10;Vlak v 0.5;T. J. Arnall, William Nicholls;Jan Vyčítal;Panton;text: Vyčítal
Gala Portrét;1985;LP;11;Divnej smích;Sheb Wooley;Miroslav Hoffmann;Panton;
Gala Portrét;1985;LP;12;Hromskej den;J. Leiber, M. Stoller;Jan Vyčítal;Panton;text: Vyčítal
Gala Portrét;1985;LP;13;Honzův song;Geoff Mack;Petr Novotný;Panton;
Gala Portrét;1985;LP;14;A slunce pálí jen;Roger Miller;Miroslav Hoffmann;Panton;
Gala Portrét;1985;LP;15;Hej, Joe;Boudleaux Bryant;Miroslav Hoffmann;Panton;
Zálešácká bowle;1988;LP;1;Zálesácká bowle;Jan Vyčítal;Jan Vyčítal;Supraphon;hudba+text: Vyčítal
Zálešácká bowle;1988;LP;2;Ten sen jsem míval;Marty Robbins;Jan Vyčítal;Supraphon;text: Vyčítal
Zálešácká bowle;1988;LP;3;Pořád cestuji sám;traditional, úpr. Karel Vágner;Jan Vyčítal;Supraphon;text: Vyčítal
Zálešácká bowle;1988;LP;4;Marion Lee;traditional, úpr. Aleš Maudr;B. Espinasse, Jan Vyčítal;Supraphon;text: Vyčítal (spoluautor)
Zálešácká bowle;1988;LP;5;Neklaunova zpověď;Jan Vyčítal, Karel Vágner;Jan Vyčítal;Supraphon;hudba+text: Vyčítal
Zálešácká bowle;1988;LP;6;Černý diamant;traditional, úpr. František Kacafírek;;Supraphon;
Zálešácká bowle;1988;LP;7;Sedm španělských andělů;T. Seals, E. Setser;Jan Vyčítal;Supraphon;text: Vyčítal
Zálešácká bowle;1988;LP;8;Kocour prospektor;Josef Šimek;Jan Vyčítal;Supraphon;text: Vyčítal
Zálešácká bowle;1988;LP;9;Dům v pastvinách;tradicional, úpr. Aleš Maudr;Jan Vyčítal;Supraphon;text: Vyčítal
Zálešácká bowle;1988;LP;10;Hříbě z mojí stáje;Karel Vágner;Ludvík Hess;Supraphon;
Zálešácká bowle;1988;LP;11;Jenom dým;Pavel Skalický;Jan Vyčítal;Supraphon;text: Vyčítal
Zálešácká bowle;1988;LP;12;Nedomlsnej Dan;traditional, úpr. Aleš Maudr;Jan Vyčítal;Supraphon;text: Vyčítal
